id,clave,nombre,region_id,created_at,updated_at
72,072,"PUEBLO NUEVO SOLISTAHUACÁN",7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
73,073,RAYÓN,7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
74,074,REFORMA,8,"2019-06-26 14:03:47","2019-06-26 14:03:47"
75,075,"LAS ROSAS",15,"2019-06-26 14:03:47","2019-06-26 14:03:47"
76,076,SABANILLA,14,"2019-06-26 14:03:47","2019-06-26 14:03:47"
77,077,"SALTO DE AGUA",14,"2019-06-26 14:03:47","2019-06-26 14:03:47"
78,078,"SAN CRISTÓBAL DE LAS CASAS",5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
79,079,"SAN FERNANDO",3,"2019-06-26 14:03:47","2019-06-26 14:03:47"
80,080,SILTEPEC,11,"2019-06-26 14:03:47","2019-06-26 14:03:47"
81,081,SIMOJOVEL,7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
82,082,SITALÁ,14,"2019-06-26 14:03:47","2019-06-26 14:03:47"
83,083,SOCOLTENANGO,4,"2019-06-26 14:03:47","2019-06-26 14:03:47"
84,084,SOLOSUCHIAPA,8,"2019-06-26 14:03:47","2019-06-26 14:03:47"
85,085,SOYALÓ,7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
86,086,SUCHIAPA,1,"2019-06-26 14:03:47","2019-06-26 14:03:47"
87,087,SUCHIATE,10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
88,088,SUNUAPA,8,"2019-06-26 14:03:47","2019-06-26 14:03:47"
89,089,TAPACHULA,10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
90,090,TAPALAPA,7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
91,091,TAPILULA,7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
92,092,TECPATÁN,3,"2019-06-26 14:03:47","2019-06-26 14:03:47"
93,093,TENEJAPA,5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
94,094,TEOPISCA,5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
96,096,TILA,14,"2019-06-26 14:03:47","2019-06-26 14:03:47"
97,097,TONALÁ,9,"2019-06-26 14:03:47","2019-06-26 14:03:47"
98,098,TOTOLAPA,4,"2019-06-26 14:03:47","2019-06-26 14:03:47"
99,099,"LA TRINITARIA",15,"2019-06-26 14:03:47","2019-06-26 14:03:47"
100,100,TUMBALÁ,14,"2019-06-26 14:03:47","2019-06-26 14:03:47"
101,101,"TUXTLA GUTIÉRREZ",1,"2019-06-26 14:03:47","2019-06-26 14:03:47"
102,102,"TUXTLA CHICO",10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
103,103,TUZANTÁN,10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
104,104,TZIMOL,15,"2019-06-26 14:03:47","2019-06-26 14:03:47"
105,105,"UNIÓN JUÁREZ",10,"2019-06-26 14:03:47","2019-06-26 14:03:47"
106,106,"VENUSTIANO CARRANZA",4,"2019-06-26 14:03:47","2019-06-26 14:03:47"
107,107,"VILLA CORZO",6,"2019-06-26 14:03:47","2019-06-26 14:03:47"
108,108,VILLAFLORES,6,"2019-06-26 14:03:47","2019-06-26 14:03:47"
109,109,YAJALÓN,14,"2019-06-26 14:03:47","2019-06-26 14:03:47"
110,110,"SAN LUCAS",4,"2019-06-26 14:03:47","2019-06-26 14:03:47"
111,111,ZINACANTÁN,5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
112,112,"SAN JUAN CANCUC",5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
113,113,ALDAMA,5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
